parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
lambda2,0.2864116775236807,0.1111642861015928,0.0071672490828177835,166.94808440192975,418.2826219749147,1.009386336069463,
phi0,0.5816525023985725,0.21906354060383929,0.015391258853282224,196.51100067826349,511.9242972210738,1.0180848001737848,
tau2_t1,1.3758743269028926,1.7864623664800263,0.06003310507101247,918.143401086676,944.2157400157333,0.9990390976936893,
tau2_t2,1.3889532806408589,1.7265011397476189,0.05317648145637902,890.8207392507942,804.862447556058,1.0000392908306985,
tau2_t3,1.2937844954375057,1.3386982066115063,0.04341760034308274,664.1720953644631,783.3510493552759,1.0014840425001357,
tau2_t4,1.2847796525991917,1.042739439966094,0.034137782054373414,812.2927871840521,1025.1718834751148,0.9993707825896893,
tau2_t5,1.321429024996263,1.4286040844287151,0.04427793047589891,949.7383612026282,872.2902943859726,0.9991948045436481,
tau2_t6,1.3778310920763612,1.494765223357721,0.04764703317245937,935.1501022707414,989.6339440486191,0.9992558505809099,
tau2_t7,1.2882414901063548,1.2113183054498347,0.037436764854912714,961.3206648341255,932.0500203264512,0.999240959496398,
tau2_t8,1.3064511460382617,1.4431429633179473,0.044793963086219135,991.3788547879892,778.85630571321,1.0013190606535676,
tau2_t9,1.4682255062127212,2.1010248191413115,0.06584837326071136,1003.9822994369483,973.3333108885636,1.0000429367789845,
tau2_t10,1.529307948061109,3.099430687596788,0.09533321214167614,1043.9905123607427,856.8115296593608,0.9994591787952212,
tau2_t11,1.3407232628890158,1.5874532644529613,0.0530206016542179,848.0657574242542,880.639165138096,0.9990020010868647,
tau2_t12,1.4583005003306477,1.8600452175906907,0.07221978608518087,785.5746136499663,704.3817128555787,1.0008449491189664,
tau2_t13,1.426151217498129,2.0477000097353257,0.0638104817042025,700.8259396745005,953.9015739559654,0.9994880989984765,
tau2_t14,1.2341346265163669,1.211154535478456,0.039064207091049234,866.3411171844377,838.7439137675331,0.9994141985847887,
tau2_t15,1.2934090666183813,2.198102419642781,0.06969671031854073,851.1193226993385,971.5517650309824,1.0019668515076403,
tau2_t16,1.3256115531678214,1.4640330990590926,0.05044969647852103,709.5765739785868,899.2916420699345,1.0022726128367574,
tau2_t17,1.3438983502417825,1.553848595555693,0.058786264050138204,556.3337353722749,834.0578912441691,1.0029943230431677,
tau2_t18,1.3429911189277914,1.3868906687775304,0.051616688510977185,690.1723548352185,851.3925650541373,1.0057491603661266,
tau2_t19,1.4393744031363687,2.666621064096188,0.085136261731722,745.0576466889737,868.9755412324432,1.0053542462582892,
tau2_t20,1.3944818744034906,3.3295866076103646,0.10942334664992154,818.9828067792839,948.7951858195969,1.0051073697618227,
tau2_t21,1.3706521223889951,1.3233318402995289,0.04098990898277758,797.0340133424451,981.994166712391,1.0021676986735861,
tau2_t22,1.3221384318002507,1.2858609305521689,0.045223911388270546,798.0878021076271,819.1835859536081,1.0018557947755222,
tau2_t23,1.4868606665019868,2.6535582022792283,0.08439557740672424,974.3172933181994,979.7273858154293,1.0002804089846287,
tau2_t24,1.3343822454012892,1.5293929186518922,0.05113035849951445,892.6658442791227,980.8705141990177,0.9991693530603434,
tau2_t25,1.3207138530461695,1.5791455792898603,0.05190425169088047,998.508473903331,954.6789076453688,1.0005661297124335,
tau2_t26,1.2750710708853923,1.1989506835696364,0.03846739509871569,807.7244293998104,944.195410299882,1.0004925414361783,
tau2_t27,1.25227953907025,1.2144637549083668,0.04200521364171874,949.512538145002,908.7621808504841,1.0023182243799809,
tau2_t28,1.345460386176293,1.3925228949485995,0.04904197138882209,974.3942163234301,870.8616338296328,1.001282521979648,
tau2_t29,1.3782000383698532,1.5048457585187212,0.04907551954512641,860.9483162878555,890.1231139519416,1.0026144710225422,
tau2_t30,1.38394194791002,1.5002473494764017,0.049057000916093295,957.0782431411703,937.4269050531614,0.9998007996447148,
theta_t1,0.5739382985370302,0.46741241963672914,0.020308539295587576,535.6270634021151,604.2852560545331,1.002426753116365,
theta_t2,0.5981706288775854,0.4463288793682882,0.0208107584261131,458.6708957484793,646.8980552529129,1.0037964286524168,
theta_t3,0.5722676384232538,0.44871882875466806,0.022842657338520214,384.0832204517908,618.4395531029834,0.9994147757058885,
theta_t4,0.5772214432267515,0.4537673187758438,0.02174331369766827,428.06720749288485,564.539735747077,1.0065896258552594,
theta_t5,0.5819252707445617,0.43807322754709205,0.019782261366148194,488.05112237017636,795.304040855481,1.0042873040855602,
theta_t6,0.5707965335518879,0.47711463255167746,0.024612152405549235,376.44591577808916,786.2907324252662,1.0004776785103735,
theta_t7,0.6272440617919768,0.46038771381769883,0.023447693246029886,371.7514343939955,792.6480872087228,1.0095759055979001,
theta_t8,0.6545126445322036,0.4557552088808726,0.024267572965676068,340.4727017118199,763.2699523104059,1.011945136279384,
theta_t9,0.6052533099879902,0.46392475095581925,0.024311406732863142,348.0351144900849,696.781052291947,1.0163090811776416,
theta_t10,0.6129332957559344,0.4759561213755374,0.026019771443130713,326.1896484381623,697.6402358218421,1.0063087656524234,
theta_t11,0.6290384181627672,0.4692012857635968,0.021799082436824206,454.98700700038734,781.3491704411845,1.003722454099036,
theta_t12,0.6086689439124979,0.46138508217839264,0.018444844477028346,618.9330209082597,792.9853996172835,0.999085476341994,
theta_t13,0.6027268994465207,0.4401445229367017,0.020104046711169898,475.4565053213316,644.4127960420336,0.9997432149023312,
theta_t14,0.6061456947239644,0.4279120547388927,0.019927316443568967,468.15235940939675,761.126054807629,1.0027557087918941,
theta_t15,0.6044725099975932,0.4242739934518908,0.02144434051381273,393.0380396191385,528.1078723624222,1.0001862439405595,
theta_t16,0.6242152383313623,0.43847720363702664,0.02110609717498513,448.0966449744426,634.6395756247776,1.0097754867392712,
theta_t17,0.6018743376898978,0.4401559949146274,0.021368873696177893,426.239148965176,515.5283576236124,1.002778391246453,
theta_t18,0.53676787190609,0.4312496404079528,0.020920296318791807,421.5954670784157,681.1031648689799,0.9996353807336837,
theta_t19,0.5471498310262353,0.4485152699043474,0.024423120662049696,340.1551879579059,809.9905091075227,1.0003990788231538,
theta_t20,0.5621700027088576,0.4482283679498398,0.021912293658351477,417.9487931855696,628.6579459144328,1.0026063351796728,
theta_t21,0.547876507818795,0.44469270917454534,0.020173326602849664,489.030856542292,548.8735375338703,1.0018584154453374,
theta_t22,0.5523352687512236,0.4352426815185125,0.022801926125716743,362.75099595792824,712.4322260851875,1.0007657454862064,
theta_t23,0.5679271775547283,0.4593778343475712,0.026548382830433117,297.12560969109995,629.4179883232531,1.0016880841583464,
theta_t24,0.582776769315411,0.4476215882104231,0.022516565898648196,390.2475017694941,498.5416452012879,1.0033886771593428,
theta_t25,0.5630761603793071,0.44440642088593,0.020386847675043968,464.20447572423643,774.6715210384181,1.0013106990924947,
theta_t26,0.579604414887227,0.457127518728985,0.024036350558732055,355.1276074030691,649.8872828638778,1.0025430221869527,
theta_t27,0.5846845538922899,0.4430942874091327,0.020444439683848632,469.66394752633624,695.2107540870288,1.0006613893572933,
theta_t28,0.5914152523359993,0.44830539601730773,0.021935438341830895,419.0301785510202,519.2632204997028,1.0023163383659157,
theta_t29,0.5708144500427113,0.4426092049370942,0.0200102429405336,488.4899181648274,720.1869768715549,1.0061864551813424,
theta_t30,0.5597892361671368,0.4510404160614767,0.018678971015266534,576.2728984511352,814.3605603057551,0.9994567260146286,
